Couplets,Poet
خبر ناهي ته ڇو آهي ۽ ڇا آهي,Sheikh Ayaz
محبت زندگيءَ جي انتها آهي,Sheikh Ayaz
محبت ئي اسان جي منزلِ آخر,Sheikh Ayaz
محبت ئي اسان جي رهنما آهي,Sheikh Ayaz
اجهودار ورسن جو ڪو پيام آيو,Sheikh Ayaz
ملي اڄ زلفِ جانان سان صبا آهي,Sheikh Ayaz
زمين جي تشنه لب جنت پڪاري ٿي,Sheikh Ayaz
ڪٿي هو باد و باران جو خدا آهي,Sheikh Ayaz
پوي ٿي ماڪ، چانڊوڪي ٿڌيري آ,Sheikh Ayaz
اياز اڄ رات ڪِٿ هو بيوفا آهي,Sheikh Ayaz
روح راضي ڪجي،,Sheikh Ayaz
ياد تازي ڪجــــي،,Sheikh Ayaz
دل ٿي چاهي وري،,Sheikh Ayaz
يـــاد تازي ڪجـي،,Sheikh Ayaz
من هو پرچي پوي،,Sheikh Ayaz
آزي نيازي ڪجي،,Sheikh Ayaz
ڇـــو ڀـــلا پيـــار ۾،,Sheikh Ayaz
جلد بازي ڪجي،,Sheikh Ayaz
نيت سجدا هجن،,Sheikh Ayaz
دل نمازي ڪـجي،,Sheikh Ayaz
شهر مجرم سڄــو” اياز“،,Sheikh Ayaz
ڪنهن کي قاضي ڪجي.,Sheikh Ayaz
جي تو اڃا نه ڄاتو، آ ڪير ديس واسي،,Sheikh Ayaz
تنهنجو جنم اجايو، تنهنجي مٽي اڻاسي!,Sheikh Ayaz
آيو ويو سڪندر، سيوهڻ اڃا اتي آ،,Sheikh Ayaz
هو کيرٿر کڙو آ، ويندا رهيا وناسي.,Sheikh Ayaz
لالڻ! نوان لڪن ۾، نڪتا نياڻ آهن،,Sheikh Ayaz
ايندا جتي لُڪن ۾، پانڌيئڙا پياسي.,Sheikh Ayaz
هي شام جو مياڻي، هي سون رن پاڻي،,Sheikh Ayaz
تڙ تي ٻه چار ڏيئا، نڙ تي ٻه چار لاسي!,Sheikh Ayaz
منهنجي اڪير ڇا هي؟ هي چٽ چيت من ۾،,Sheikh Ayaz
مندر، اداس ڏيئو، اڌ رات، ديوداسي.,Sheikh Ayaz
جي وک کي وڌائين، اڄ ماڳ ڏور ناهي،,Sheikh Ayaz
ڏونگر ڏري پيو آ، ساهس ته ڌار ساسي!,Sheikh Ayaz
جي هانءُ نه هارين ڪوهيارل! هي ڏينهن به گھاري وينداسين،,Sheikh Ayaz
ڇو پير پساري ويٺو آن، اُٿ! ڏونگر ڏاري وينداسين۔,Sheikh Ayaz
ڪنهن لاءِ تڪين تو ڪانڌيءَ تان، ٻي ٻيڙي ڪابه نه اچڻي آ،,Sheikh Ayaz
جي تون به اچين او وڻجھارا! توکي به اُڪاري وينداسين۔,Sheikh Ayaz
درياھ اندر جا دهشت آ، ڪنهن وقت قيامت ٿي ويندي،,Sheikh Ayaz
تون مان ته رڳو هن سنڌوءَ تي، ڪا لهر اُڀاري وينداسين۔,Sheikh Ayaz
ڪا جھِرمِر جھِرمِر جگنوءَ جي، ڪا ٽِم ٽِم ٽِم ٽِم تاري جي،,Sheikh Ayaz
گھنگھور گھَٽا جو گھيرو آ، ڪنهن جي ته سهاري وينداسين۔,Sheikh Ayaz
آ مرڻو هر هڪ ماڻهوءَ کي، پر آئين نه مرنداسين ساٿي،,Sheikh Ayaz
ڪا آگ لڳائي وينداسين، ڪو ٻارڻ ٻاري وينداسين۔,Sheikh Ayaz
تون آءُ ته اوريون او راڻا، ڇو جيءُ سهي هي جھوراڻا،,Sheikh Ayaz
تون ڇا کان ڇرڪين ٿو راڻا! اڄ ڪاڪِ ڪناري وينداسين۔,Sheikh Ayaz
ڇو گھٻرائين ٿو ڪوٽ ڏسي، هي اُوچي اُوچي اوٽ ڏسي،,Sheikh Ayaz
زندان اڏائي وينداسين، زنجير پِگھاري وينداسين۔,Sheikh Ayaz
تنهن وقت به مون هي ڄاتو هو، هي ڪاريهر سان ناتو هو،,Sheikh Ayaz
جي ساٿي ساٿ سڃاتو هو، هي مارِي ماري وينداسين۔,Sheikh Ayaz
تون ڪر، جو تو کي ڪرڻو آ، هي دور به نيٺ گذرڻو آ،,Sheikh Ayaz
ڪنهن وقت ڏهيسر مرڻو آ، بنواس گذاري وينداسين۔,Sheikh Ayaz
جي پنهنجو نور نچوئي ويا ۽ تُنهنجي جوت جلائي ويا،,Sheikh Ayaz
سي لڙڪ مٽيءَ ۾ لوئي ويا، پر ڇا ڇا موتي پائي ويا!,Sheikh Ayaz
سي وڻ وڻ لوڏي واءُ ٿيا، سي پن پن ۾ پڙلاءُ ٿيا،,Sheikh Ayaz
جن بن بن بين وڄائي ويا، جي تن من واري ڳائي ويا.,Sheikh Ayaz
مون ڌرتي تنهنجا ڌڱ ڏٺا، مون تن جا لويل لڱ ڏٺا،,Sheikh Ayaz
جن وڙهندي وڙهندي جان ڏني، سي وارا وير وڄائي ويا.,Sheikh Ayaz
مون اڻ ٿيڻا انسان ڏٺا،مون سوريءَ تي سومان ڏٺا،,Sheikh Ayaz
اي ڌرتي! ڇا ڇا ڪونڌر ها، جي پنهنجا ڪنڌ ڪپائي ويا!,Sheikh Ayaz
مون ويندي تن جا پير ڏٺا، مون ڇاڇا مڙس مٿير ڏٺا!,Sheikh Ayaz
جي ڪيئي سج اُڀاري ويا، جي ڪيئي سج سمائي ويا.,Sheikh Ayaz
مون ڪاتيءَ هيٺيان ڪنڌ ڏٺا، مون ساڻا ساڻا سنڌ ڏٺآ،,Sheikh Ayaz
